Gene,bind_logFC,expr_fong,adjP_fong,expr_map2,adjP_map2,sign_concordant,delta_abs_expr
AAAS,1.625174595970623,1.196060940416556,0.0389809161331232,0.8098368055555555,0.4017584119964146,True,0.3862241348610006
AHCTF1,3.091832218239389,0.6733614170046689,0.1935523912048355,0.5674147055555556,0.5886653322220056,True,0.10594671144911327
ANLN,1.631307776069199,1.450020234308058,0.0141794857096725,1.583866102222222,0.2116043124877084,True,0.13384586791416409
ASPM,2.843568518642131,1.770174042775901,0.0184547902943026,1.362550513333334,0.2116043124877084,True,0.40762352944256697
AURKB,1.653113994163559,1.45080420479075,0.0341945377675535,1.623013604444445,0.4179738076010212,True,0.17220939965369508
BARD1,1.761824020417345,2.265514004744611,0.0447250024563442,1.661701048333333,0.2610624618991867,True,0.603812956411278
BCL2L11,-1.346079059546178,0.8817895774690054,0.0330177860962086,1.247095141888889,0.3506005136639701,True,0.3653055644198835
BIRC5,2.572413919117823,1.572063223313299,0.0531539987993039,1.491343254074074,0.2229108108783872,True,0.08071996923922486
BLM,2.652666761318585,1.015237019961631,0.0211181114722254,1.239867755555556,0.3350636596997103,True,0.224630735593925
BUB1,3.226993022677618,1.18996797987125,0.0447250024563442,1.414057528888889,0.2413494566705565,True,0.2240895490176391
BUB1B,3.180520130390996,0.9561593970027946,0.1005134134957508,1.070620433,0.3205621281787723,True,0.11446103599720536
CCNB1,2.03192715069859,1.183494198582819,0.069562968348531,1.172183534814815,0.2185387662075358,True,0.011310663768003826
CCNB2,2.619327010866337,1.951873959508148,0.0258685478963911,0.9298196544444446,0.2852741805486515,True,1.0220543050637034
CCNF,1.823128409176863,1.233805286756605,0.1648281801114429,1.093017575555556,0.2899999112278854,True,0.14078771120104894
CDC20,2.866729013673511,1.638764975985826,0.0331209661171403,1.335042418222222,0.2116043124877084,True,0.303722557763604
CDC7,2.839424172359373,1.143394999098849,0.0416667855120086,1.193938432777778,0.4314782671147839,True,0.050543433678928995
CDCA2,4.34873001560986,1.357855894359345,0.0128043673178435,1.887184886333333,0.1694509719262741,True,0.5293289919739879
CDK5RAP2,0.9066515820403849,1.129264902921406,0.0266528348269986,0.6982977336111111,0.5197076000792891,True,0.4309671693102948
CDKN2D,2.4287125924183,1.179978532238442,0.057729051107103,0.8325625488888888,0.5899943947082993,True,0.34741598334955315
CDT1,1.464080320219552,2.113154114771525,0.034323166099888,1.667127928888889,0.4053126737138054,True,0.446026185882636
CENPA,2.046152914612948,1.262226080175852,0.1315715795730729,1.222513398555555,0.239546761098901,True,0.03971268162029706
CENPF,3.345337392472302,1.827494457312652,0.0345451909486121,1.032609413777778,0.4252095889699384,True,0.794885043534874
