Gene
ANK3
BBS4
BRIP1
CALM2
CCNA1
CDK2AP2
CHMP7
DTX3L
EXOC4
FLT3L
GINS3
ING2
IQGAP1
IQGAP2
KIF2A
LARP7
LMNB1
LSM11
MUC1
NES
NR4A1
NUBP1
PPP2R1A
PUM2
RAD21
RAD50
RB1
SAC3D1
TERT
