family,fong_only,map2_only,overlap,overlap_concordant_signs,mean_delta_abs_expr_overlap,pearson_r_overlap,pearson_p_overlap,spearman_rho_overlap,spearman_p_overlap
Cell cycle,29,13,101,100,0.3218454296158571,0.5058294643947483,6.824957394548173e-08,0.4748514851485149,5.245285250827721e-07
DNA repair,10,5,24,24,0.34675314096145926,0.3475853547079232,0.09605874359824607,0.39391304347826084,0.056834695519630066
Apoptosis,38,15,22,18,0.35002790793205124,0.32684972373022525,0.13762205949390005,0.2896668548842462,0.19101038587926442
Autophagy,11,0,4,4,0.3123323283249553,0.9554268310489786,0.04457316895102137,0.7999999999999999,0.20000000000000007
Necroptosis,3,0,1,0,0.008476598790883028,,,,
