Gene,bind_logFC,expr_fong,adjP_fong,expr_map2,adjP_map2,sign_concordant,delta_abs_expr
BARD1,1.761824020417345,2.265514004744611,0.0447250024563442,1.661701048333333,0.2610624618991867,True,0.603812956411278
BLM,2.652666761318585,1.015237019961631,0.0211181114722254,1.239867755555556,0.3350636596997103,True,0.224630735593925
CDC7,2.839424172359373,1.143394999098849,0.0416667855120086,1.193938432777778,0.4314782671147839,True,0.050543433678928995
DEK,-1.364747616717371,1.118001561801245,0.063265917670502,0.9094920666666668,0.4829111146050777,True,0.20850949513457828
EXO1,1.287624122616179,1.708862794127542,0.0145004434739725,1.351839164444445,0.3604883953556918,True,0.3570236296830971
FANCA,1.923368554215099,1.36284859369332,0.0506070625989558,1.884822753333333,0.2149019339907676,True,0.5219741596400131
FANCG,2.225224048304625,1.05087400646989,0.0229438168891258,1.664248248888889,0.1382743280176387,True,0.613374242418999
GINS2,2.762268078251187,2.038033429521942,0.0258685478963911,1.203641196666666,0.3670315639733144,True,0.834392232855276
HMGB1,2.2894778964786,0.7034966865423886,0.0789990982658864,0.8996096530555555,0.397209443713584,True,0.1961129665131669
KLHL15,-1.22194776788262,0.4776081587029015,0.2610661945318737,1.982660973666667,0.4108304783959115,True,1.5050528149637654
LIG1,1.560572527688878,1.122789441725574,0.0513084197948102,1.375836168888889,0.3684437154704058,True,0.253046727163315
MCM3,1.914243872947878,1.247807928166628,0.0314424068223466,1.061387755555556,0.4571883895995602,True,0.18642017261107213
MCM5,-1.435963453960028,1.313974609119931,0.0563753658672887,1.305273161111111,0.5358963992224616,True,0.00870144800881989
NEIL3,1.796569900714504,1.910304413909799,0.015010717275339,1.611174207444444,0.2116043124877084,True,0.29913020646535515
POLQ,2.630280664833366,1.525266474602144,0.015010717275339,1.954869848333334,0.2536241803817188,True,0.42960337373118995
RAD51,1.607368325284127,1.696622830599738,0.0480628341509684,1.799067992777778,0.2610624618991867,True,0.10244516217804
RAD54L,2.309720556316935,1.381515950171964,0.0435530979925609,1.711928481111112,0.2852741805486515,True,0.3304125309391479
RBBP8,1.449546300031691,0.9485463243361156,0.1092499326266747,1.179803647777778,0.417468269835634,True,0.2312573234416624
RFWD3,1.918788815186192,0.9444222054024128,0.0685553127840271,0.7566745577777778,0.4737952203167812,True,0.18774764762463503
RPA2,1.987778039380911,1.202047332465465,0.0523431297458958,0.9536846522222224,0.4498537551444297,True,0.2483626802432426
SAMHD1,-1.471068543510877,0.5906422473875086,0.0443776621220288,0.5959486893333336,0.5443107218639497,True,0.005306441945824969
SUV39H1,2.105772508526727,0.7264373540879134,0.1244867390771278,1.376527244888889,0.3159703159353478,True,0.6500898908009756
TIMELESS,2.351542374530895,1.189979964761665,0.0115545778440804,1.201343748333334,0.5741258631243088,True,0.011363783571669117
XRCC2,2.890532998845596,1.297712489734822,0.0420266888179954,1.034951162277778,0.299096052757323,True,0.26276132745704395
