family,fong_only,andrusiak_only,overlap,overlap_concordant_signs,mean_delta_abs_expr_overlap,pearson_r_overlap,pearson_p_overlap,spearman_rho_overlap,spearman_p_overlap
Cell cycle,65,4,65,65,0.5489216271536359,0.05745436753058836,0.6493970742339865,0.09663461538461537,0.44381259767867876
DNA repair,14,1,20,20,0.4992496472077443,0.01834435436534,0.9388128331127816,0.12781954887218044,0.5912462398946646
Apoptosis,52,2,8,8,0.6306564791392306,0.047085637532519625,0.9118448322790302,-0.2142857142857143,0.6103444156452669
Autophagy,15,0,0,0,,,,,
Necroptosis,4,0,0,0,,,,,
