Gene,bind_logFC,expr_fong,expr_andr,sign_concordant,delta_abs_expr
ANLN,1.631307776069199,1.450020234308058,1.460545264045394,True,0.010525029737336045
AURKB,1.653113994163559,1.45080420479075,0.7917436534254338,True,0.659060551365316
BARD1,1.761824020417345,2.265514004744611,0.8791102964832622,True,1.3864037082613487
BIRC5,2.572413919117823,1.572063223313299,0.5870980316487053,True,0.9849651916645936
BRIP1,1.970662160816547,1.994326857505817,1.230456477415204,True,0.763870380090613
BUB1,3.226993022677618,1.18996797987125,1.166548995268765,True,0.023418984602484816
BUB1B,3.180520130390996,0.9561593970027946,0.651093309100655,True,0.3050660879021396
CCNB1,2.03192715069859,1.183494198582819,0.7553529366772647,True,0.42814126190555424
CCNB2,2.619327010866337,1.951873959508148,0.7716542218092017,True,1.1802197376989463
CCNF,1.823128409176863,1.233805286756605,0.9137877082098054,True,0.3200175785467996
CDC7,2.839424172359373,1.143394999098849,0.9843516460894608,True,0.1590433530093882
CDT1,1.464080320219552,2.113154114771525,1.483700640769944,True,0.6294534740015809
CENPF,3.345337392472302,1.827494457312652,0.6385306993801773,True,1.1889637579324748
CENPH,3.109420815530984,1.555864597408734,0.9455780399877312,True,0.6102865574210028
CENPK,2.733028481102689,1.592766351999803,2.114519616034214,True,0.5217532640344109
CENPM,2.141766496260138,1.925867672681502,0.8581079467053829,True,1.0677597259761191
CLSPN,1.505048019189068,1.782132568426396,1.259432975108947,True,0.522699593317449
DSN1,2.543875838297128,1.143933270689626,1.238399908677173,True,0.09446663798754718
E2F7,1.846469735564592,1.993237146787434,1.509252148153968,True,0.4839849986334659
ECT2,3.624969164220547,1.627678488312835,1.069530737606332,True,0.5581477507065029
EXO1,1.287624122616179,1.708862794127542,1.424665765428827,True,0.284197028698715
FANCA,1.923368554215099,1.36284859369332,1.19178137549122,True,0.1710672182020998
FBXO5,1.911845446413261,1.290053197136606,1.657031933163087,True,0.3669787360264809
GINS3,2.068087814413971,1.464830650954209,0.8884896044667856,True,0.5763410464874235
KIF11,2.199726128896946,1.364313678302267,1.080552475787133,True,0.2837612025151339
KIF14,3.001738255299844,2.128421461063765,0.7955439610347466,True,1.3328775000290183
KIF20B,2.504187771534266,1.88155841230822,0.968923495202945,True,0.9126349171052751
KIF23,-2.06887235538868,1.470882971676842,0.9365537443963956,True,0.5343292272804463
KIF2C,2.744893433319016,1.190040190070246,0.8248127317659351,True,0.3652274583043109
LIG1,1.560572527688878,1.122789441725574,1.605379691223076,True,0.48259024949750207
LMNB1,1.468511915223946,1.378247786167261,0.6186932913545219,True,0.7595544948127392
MAD2L1,2.165750314944522,1.615774305713854,1.167916976145901,True,0.4478573295679531
MBD4,-1.630896546922965,0.6525667368896535,0.598925308218589,True,0.05364142867106447
MCM3,1.914243872947878,1.247807928166628,1.847685531350696,True,0.5998776031840678
MCM5,-1.435963453960028,1.313974609119931,1.740217108989797,True,0.4262424998698662
MKI67,1.532678767463946,1.770772829298446,1.304124149076821,True,0.466648680221625
MYBL2,1.972979433048424,1.546004594967348,0.752479291740042,True,0.793525303227306
NASP,1.844710839321344,0.6128436618560791,1.163114628006695,True,0.550270966150616
NCAPG,2.120352873828411,1.43208623427517,1.024071832121957,True,0.40801440215321283
NCAPG2,1.757531858319253,1.86607368591171,1.61666281402321,True,0.24941087188849997
NCAPH,1.459640937320033,1.403941331938082,0.7785237477022434,True,0.6254175842358386
NDC80,2.220368537259044,1.475102281605809,0.8434243396090013,True,0.6316779419968077
NEK2,3.017470413897539,1.508921384732487,0.7359636697327548,True,0.7729577149997321
NSL1,2.512446425718175,1.631521465619564,0.6673662572984076,True,0.9641552083211564
NUSAP1,1.437273430820962,1.175600126240884,1.268918803852468,True,0.09331867761158397
OIP5,2.611504648525019,2.056595700589652,0.7235894900758958,True,1.333006210513756
PLK1,2.972519661574066,1.150101711610306,0.6858979991639664,True,0.4642037124463396
PRC1,2.558431421493897,1.64221157487323,0.9722226815805816,True,0.6699888932926484
RACGAP1,1.867097054982266,1.520735322477263,0.9946860127128728,True,0.5260493097643902
RAD18,2.407878253950354,1.527519673432835,0.8140990261640857,True,0.7134206472687492
RAD50,2.510334036114719,0.8379432433642791,0.6685220061615158,True,0.16942123720276325
RAD51,1.607368325284127,1.696622830599738,1.22621946861493,True,0.47040336198480803
RAD54L,2.309720556316935,1.381515950171964,0.7849317445446425,True,0.5965842056273215
RBBP8,1.449546300031691,0.9485463243361156,1.160727772997322,True,0.21218144866120636
RPA2,1.987778039380911,1.202047332465465,1.047114451930726,True,0.15493288053473897
RRM1,2.11222852736467,0.9626282453911852,1.743411819314861,True,0.7807835739236759
RRM2,2.260315822138022,1.472020929261857,1.403299684907504,True,0.068721244354353
SASS6,2.46842144525437,1.274368367903815,0.6662452192311786,True,0.6081231486726363
SPAG5,2.413096106559417,1.436727264923144,0.7309658649376477,True,0.7057613999854963
SPC25,2.003915820784496,1.647644446787544,1.238560045207735,True,0.40908440157980897
TIMELESS,2.351542374530895,1.189979964761665,0.680778475472855,True,0.5092014892888099
TOPBP1,2.197697092176385,1.465024199333319,1.05459373463118,True,0.41043046470213906
TPX2,3.042100227079819,1.545548683133468,0.8229572092552074,True,0.7225914738782605
TTK,2.825774155443693,1.491449206652231,0.8231366146139992,True,0.6683125920382317
UBE2C,3.039811204366357,1.1216903660175,0.6858092126048391,True,0.43588115341266087
