family,map2_only,cag_only,overlap,overlap_concordant_signs,mean_delta_abs_expr_overlap,pearson_r_overlap,pearson_p_overlap,spearman_rho_overlap,spearman_p_overlap
Cell cycle,3,43,111,111,0.33566951874024026,0.9697281504805582,1.435816647797809e-68,0.8751316251316251,3.7658152829406605e-36
DNA repair,1,13,28,28,0.39732706134722173,0.9394785782715863,1.3184825292777507e-13,0.8440065681444991,1.6717042683446077e-08
Apoptosis,6,36,31,31,0.3721128053542409,0.9836218406500559,3.923720750414231e-23,0.9399193548387097,4.535151273451661e-15
Autophagy,0,18,4,4,0.11880801452777864,0.9898195755152863,0.01018042448471368,1.0,0.0
Necroptosis,0,3,1,1,0.2017277061111109,,,,
