Gene
ATG7
BAG3
BNIP3L
BOK
CDKN2A
CHMP4B
ERCC4
FEZ1
LRRK2
MAP3K7
MFSD8
MUL1
ROCK1
SCOC
TOMM7
TRIM13
VPS41
WNK1
