Gene,bind_logFC,expr_map2,adjP_map2,expr_cag,adjP_cag,sign_concordant,delta_abs_expr
AURKB,1.653113994163559,1.623013604444445,0.4179738076010212,2.5176131,0.0458486522035229,True,0.8945994955555552
BCL2L11,-1.346079059546178,1.247095141888889,0.3506005136639701,1.01970784333333,0.0733483010846694,True,0.22738729855555895
BIRC5,2.572413919117823,1.491343254074074,0.2229108108783872,1.883474353333334,0.0249006035579983,True,0.39213109925925993
BLM,2.652666761318585,1.239867755555556,0.3350636596997103,1.6397807,0.0248349563216809,True,0.39991294444444403
BUB1,3.226993022677618,1.414057528888889,0.2413494566705565,1.78169156333333,0.0372766154699531,True,0.36763403444444087
CDKN2D,2.4287125924183,0.8325625488888888,0.5899943947082993,1.30566629333333,0.018570279260885,True,0.47310374444444125
CIT,2.690291894698556,1.718534735555556,0.2878007769749082,2.41743517333333,0.0392045375537836,True,0.6989004377777741
E2F3,1.525344459992908,1.409458967777778,0.4140666327565688,1.763366628333335,0.018570279260885,True,0.3539076605555569
FAIM2,-1.368157310279493,-1.42527085,0.23490455046642,-1.422706423,0.0511110103017357,True,0.0025644270000000358
FAS,-1.347360663062983,-1.244788658888889,0.4677636468608734,-1.446516365,0.0764713521255172,True,0.2017277061111109
HMGB2,2.270245238635856,1.138682276666666,0.2410013923269574,1.30078540333333,0.0521509218476477,True,0.16210312666666393
KIF14,3.001738255299844,1.344396075,0.2116043124877084,1.51564233333333,0.0818504302570553,True,0.17124625833333007
KLF4,-1.501260621497925,1.047324373888889,0.3330809593819589,1.217014616,0.122975796926174,True,0.16969024211111083
KRT18,-1.674905407870415,1.739974016666667,0.4464638395078089,2.97824078666667,0.0069900541971642,True,1.238266770000003
MAPT,1.265797547802065,-0.8725277034444443,0.3506005136639701,-0.839550657666666,0.229839815772546,True,0.03297704577777827
MBD4,-1.630896546922965,1.140996456666667,0.3733760689156093,1.64064916333333,0.018570279260885,True,0.49965270666666295
MELK,1.506094752520434,1.335859515555556,0.3430226760358784,1.79391671666667,0.0360360229126291,True,0.45805720111111414
MYB,-1.382188090014567,1.487309266666667,0.4180033565780889,2.20389076666667,0.0079736093339469,True,0.7165815000000031
MYBL2,1.972979433048424,1.302147323333334,0.4017278683188246,1.839220825,0.0208802957210178,True,0.5370735016666659
NR4A3,-2.215664333529,-2.181305555555555,0.3226644580655576,-2.16585030166667,0.131541572920513,True,0.015455253888884801
PERP,-1.464375567407104,-1.147274328888889,0.2976987286204434,-1.61903221,0.0182181319803353,True,0.47175788111111117
PRKCQ,-1.483744995347992,-1.219642041111111,0.5355100886882965,-1.40819882733333,0.117759110332816,True,0.18855678622221883
PRKD2,2.253925684805304,0.655271636888889,0.3834962535753109,0.764736971666667,0.135884014638175,True,0.10946533477777798
RET,-1.554842892081211,0.8325332566666668,0.5899943947082993,1.38575967333333,0.0249006035579983,True,0.5532264166666632
RTKN2,1.536606283881562,1.839584025555556,0.1772821972161955,2.27861657666667,0.0144531485584133,True,0.43903255111111394
SH3RF1,-1.77131006080022,0.7475614466666669,0.5706785048928311,1.06036741333333,0.0993279121459404,True,0.31280596666666316
SLC1A1,-1.579424852769362,-1.130291091111111,0.2284718001865918,-0.925907451666667,0.18085143791418,True,0.20438363944444404
STAMBP,-1.739811840680812,-0.5589319855555556,0.5636280253696999,-0.611705143333333,0.253153070465596,True,0.05277315777777747
TBX1,-1.848831408495594,1.286138598888889,0.4717150152014093,1.64938657666667,0.0886021273798657,True,0.36324797777778106
UBE2V2,-1.828946467104147,-0.64172691,0.5636280253696999,-0.617299714333333,0.261133083117749,True,0.024427195666667068
XRCC2,2.890532998845596,1.034951162277778,0.299096052757323,1.83779876666667,0.0439403307508101,True,0.8028476043888919
