Gene
BBS4
BRIP1
CALM2
CCNA1
CDK2AP2
CHMP7
DTX3L
FLT3L
GINS3
ING2
IQGAP1
IQGAP2
LIF
MAPRE2
MUC1
NES
NR4A1
RB1
TERT
