family,fong_only,cag_only,overlap,overlap_concordant_signs,mean_delta_abs_expr_overlap,pearson_r_overlap,pearson_p_overlap,spearman_rho_overlap,spearman_p_overlap
Cell cycle,19,43,111,109,0.4017524392574856,0.524826656139597,3.360587529320208e-09,0.5333538083538083,1.671895062955776e-09
DNA repair,6,13,28,28,0.5742940271376994,0.592412322202775,0.0008954133740072816,0.4652435686918446,0.01260520534592621
Apoptosis,36,43,24,22,0.4763694598977686,0.6150191194338868,0.0013823092601320962,0.5060869565217391,0.011627528283361447
Autophagy,9,16,6,6,0.17547530770001254,0.9740305343979335,0.0010028626410174895,0.6,0.20799999999999985
Necroptosis,3,3,1,0,0.21020430490199393,,,,
