Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind,abs_expr,abs_bind
KRT18,2.97824078666667,0.0069900541971642,-1.674905407870415,0.0173136344714927,2.97824078666667,1.674905407870415
AURKB,2.5176131,0.0458486522035229,1.653113994163559,0.018309604997865,2.5176131,1.653113994163559
CIT,2.41743517333333,0.0392045375537836,2.690291894698556,3.623173069884068e-05,2.41743517333333,2.690291894698556
HGF,-2.32916339333333,0.154160734524532,-1.744220531441758,0.029698267571617,2.32916339333333,1.744220531441758
RTKN2,2.27861657666667,0.0144531485584133,1.536606283881562,0.0343780888964089,2.27861657666667,1.536606283881562
MYB,2.20389076666667,0.0079736093339469,-1.382188090014567,0.0495738054945796,2.20389076666667,1.382188090014567
NR4A3,-2.16585030166667,0.131541572920513,-2.215664333529,0.0306416025765473,2.16585030166667,2.215664333529
CDKN2A,1.96273994566667,0.0212204525380464,2.362612053673109,0.0002199427830036041,1.96273994566667,2.362612053673109
BIRC5,1.883474353333334,0.0249006035579983,2.572413919117823,0.0001573703144456925,1.883474353333334,2.572413919117823
MYBL2,1.839220825,0.0208802957210178,1.972979433048424,0.0030708668707498,1.839220825,1.972979433048424
XRCC2,1.83779876666667,0.0439403307508101,2.890532998845596,0.000183549551647011,1.83779876666667,2.890532998845596
MELK,1.79391671666667,0.0360360229126291,1.506094752520434,0.0241801111314818,1.79391671666667,1.506094752520434
BUB1,1.78169156333333,0.0372766154699531,3.226993022677618,0.0003138866655243879,1.78169156333333,3.226993022677618
E2F3,1.763366628333335,0.018570279260885,1.525344459992908,0.0002153129311431321,1.763366628333335,1.525344459992908
TBX1,1.64938657666667,0.0886021273798657,-1.848831408495594,0.0199897714315632,1.64938657666667,1.848831408495594
MBD4,1.64064916333333,0.018570279260885,-1.630896546922965,0.0240902636380751,1.64064916333333,1.630896546922965
BLM,1.6397807,0.0248349563216809,2.652666761318585,0.0001033796578032776,1.6397807,2.652666761318585
BOK,1.63919896,0.0198069821019957,1.427406811617181,0.0233512086495875,1.63919896,1.427406811617181
PERP,-1.61903221,0.0182181319803353,-1.464375567407104,0.0226866865595387,1.61903221,1.464375567407104
KIF14,1.51564233333333,0.0818504302570553,3.001738255299844,1.782242077378943e-05,1.51564233333333,3.001738255299844
FAS,-1.446516365,0.0764713521255172,-1.347360663062983,0.0447546755844009,1.446516365,1.347360663062983
PLA2G3,-1.438446506,0.123540848953772,-1.463432817097101,0.0452713538644639,1.438446506,1.463432817097101
DAB2,-1.43372534666667,0.120099790076639,-1.880462752599015,0.0098210794676668,1.43372534666667,1.880462752599015
FAIM2,-1.422706423,0.0511110103017357,-1.368157310279493,0.0295037107284431,1.422706423,1.368157310279493
PRKCQ,-1.40819882733333,0.117759110332816,-1.483744995347992,0.0401238598427463,1.40819882733333,1.483744995347992
RET,1.38575967333333,0.0249006035579983,-1.554842892081211,0.0172319474534928,1.38575967333333,1.554842892081211
EGLN3,-1.380525181,0.0679257452441749,-1.434056274430146,0.0399435913059833,1.380525181,1.434056274430146
BAG3,-1.36389206,0.0783384301068527,-1.582674061610477,0.0299040611834186,1.36389206,1.582674061610477
CDKN2D,1.30566629333333,0.018570279260885,2.4287125924183,0.0007833428569646883,1.30566629333333,2.4287125924183
MUL1,1.30099232333333,0.0872941959277577,-1.508398025328722,0.0457084587112118,1.30099232333333,1.508398025328722
HMGB2,1.30078540333333,0.0521509218476477,2.270245238635856,0.0016707431084424,1.30078540333333,2.270245238635856
CCND1,-1.24414411333333,0.0414823430622053,1.862463260851347,0.0115909750601364,1.24414411333333,1.862463260851347
KLF4,1.217014616,0.122975796926174,-1.501260621497925,0.0270530081599879,1.217014616,1.501260621497925
NLRP1A,1.19588693,0.0303022660697075,-1.762171610623542,0.0347371642774956,1.19588693,1.762171610623542
SOX9,-1.14816570333333,0.0533231470074244,-1.323728631045018,0.0413106324539718,1.14816570333333,1.323728631045018
ID1,-1.10592937333333,0.16115389281538,1.735808820669429,0.0043829863357295,1.10592937333333,1.735808820669429
SH3RF1,1.06036741333333,0.0993279121459404,-1.77131006080022,0.0345413944022828,1.06036741333333,1.77131006080022
BCL2L11,1.01970784333333,0.0733483010846694,-1.346079059546178,0.0247273325935447,1.01970784333333,1.346079059546178
PPARGC1A,-1.000061274999998,0.137886789261465,-1.968040042500714,0.0360038737652443,1.000061274999998,1.968040042500714
NQO2,-0.994209449666667,0.146183837327248,-1.249434443167808,0.0435632482481548,0.994209449666667,1.249434443167808
ATG7,-0.973286165,0.121309332715762,-1.717003932716528,0.0247891485925265,0.973286165,1.717003932716528
SLC1A1,-0.925907451666667,0.18085143791418,-1.579424852769362,0.04184958417778,0.925907451666667,1.579424852769362
SIAH1B,0.919305173333334,0.03306412569645,2.996789287584696,2.787089932040825e-05,0.919305173333334,2.996789287584696
MAP3K7,0.8956664525000015,0.0498264559543672,2.044753074670295,0.0013893783281855,0.8956664525000015,2.044753074670295
CAMK2A,-0.886520688,0.0463786706693637,-1.244955753164937,0.0289033155435394,0.886520688,1.244955753164937
YAP1,-0.854614884666667,0.208978542127057,-1.23484344337551,0.0485545032216827,0.854614884666667,1.23484344337551
PPARA,-0.844994563333334,0.260760797276076,-1.43624383355315,0.0354394467627441,0.844994563333334,1.43624383355315
MAPT,-0.839550657666666,0.229839815772546,1.265797547802065,0.0409024367231568,0.839550657666666,1.265797547802065
MAP3K1,-0.816949676666667,0.104907618229193,-1.546206993796782,0.0025229326786021,0.816949676666667,1.546206993796782
MSH2,0.81356049,0.0514670679144618,1.572492333926393,0.0466466767896516,0.81356049,1.572492333926393
ITGAV,-0.7831483721666666,0.077514399010461,-2.057668109296053,0.004867678983998,0.7831483721666666,2.057668109296053
PRKD2,0.764736971666667,0.135884014638175,2.253925684805304,0.0188173497567123,0.764736971666667,2.253925684805304
RAD21,0.760348003333333,0.0600893770975115,1.553518999812994,0.0401567828791761,0.760348003333333,1.553518999812994
BCLAF1,0.74211121,0.101909659168032,-1.716722857795069,0.0461567567549077,0.74211121,1.716722857795069
STX4A,-0.739283399,0.114355370015449,2.220798550901177,0.0098441018321325,0.739283399,2.220798550901177
BCL11B,-0.716517456666667,0.236335653002602,1.535775814672923,0.0381516618140316,0.716517456666667,1.535775814672923
PDPK1,0.700371741666667,0.0959008847390946,1.579135129032122,0.0416085609413235,0.700371741666667,1.579135129032122
PPP2R1A,-0.680867829,0.246006601229928,-1.235673404274757,0.0329767362536439,0.680867829,1.235673404274757
DNAJB6,0.679858839666667,0.10016661298745,-1.710047785409771,0.0404010511709736,0.679858839666667,1.710047785409771
