Gene,bind_logFC,expr_map2,expr_andr,sign_concordant,delta_abs_expr
AURKB,1.653113994163559,1.623013604444445,0.7917436534254338,True,0.8312699510190111
BIRC5,2.572413919117823,1.491343254074074,0.5870980316487053,True,0.9042452224253688
BUB1,3.226993022677618,1.414057528888889,1.166548995268765,True,0.24750853362012393
E2F3,1.525344459992908,1.409458967777778,0.7443579777096523,True,0.6651009900681257
HMGB2,2.270245238635856,1.138682276666666,1.029968241368156,True,0.10871403529851009
KIF14,3.001738255299844,1.344396075,0.7955439610347466,True,0.5488521139652534
MBD4,-1.630896546922965,1.140996456666667,0.598925308218589,True,0.542071148448078
MELK,1.506094752520434,1.335859515555556,0.6598811855893709,True,0.675978329966185
MYB,-1.382188090014567,1.487309266666667,1.251712549344322,True,0.235596717322345
MYBL2,1.972979433048424,1.302147323333334,0.752479291740042,True,0.549668031593292
