family,map2_only,andrusiak_only,overlap,overlap_concordant_signs,mean_delta_abs_expr_overlap,pearson_r_overlap,pearson_p_overlap,spearman_rho_overlap,spearman_p_overlap
Cell cycle,50,5,64,64,0.46791842295132463,-0.08056023254291969,0.5268580882363916,0.03337912087912088,0.793442556458807
DNA repair,13,5,16,16,0.4741651837240118,-0.11816006989080921,0.6629578169648044,-0.06176470588235294,0.8202418775044894
Apoptosis,27,0,10,10,0.5309005073726293,0.1269580301733722,0.7267125807968173,0.09090909090909088,0.8027717312071619
Autophagy,4,0,0,0,,,,,
Necroptosis,1,0,0,0,,,,,
