Gene,bind_logFC,expr_map2,expr_andr,sign_concordant,delta_abs_expr
ANLN,1.631307776069199,1.583866102222222,1.460545264045394,True,0.12332083817682804
AURKB,1.653113994163559,1.623013604444445,0.7917436534254338,True,0.8312699510190111
BARD1,1.761824020417345,1.661701048333333,0.8791102964832622,True,0.7825907518500708
BIRC5,2.572413919117823,1.491343254074074,0.5870980316487053,True,0.9042452224253688
BUB1,3.226993022677618,1.414057528888889,1.166548995268765,True,0.24750853362012393
BUB1B,3.180520130390996,1.070620433,0.651093309100655,True,0.419527123899345
CCNB1,2.03192715069859,1.172183534814815,0.7553529366772647,True,0.4168305981375504
CCNB2,2.619327010866337,0.9298196544444446,0.7716542218092017,True,0.15816543263524285
CCNF,1.823128409176863,1.093017575555556,0.9137877082098054,True,0.17922986734575064
CDC7,2.839424172359373,1.193938432777778,0.9843516460894608,True,0.2095867866883172
CDT1,1.464080320219552,1.667127928888889,1.483700640769944,True,0.18342728811894493
CENPF,3.345337392472302,1.032609413777778,0.6385306993801773,True,0.39407871439760067
CENPH,3.109420815530984,1.967528651111112,0.9455780399877312,True,1.021950611123381
CENPK,2.733028481102689,1.09581036,2.114519616034214,True,1.018709256034214
CENPM,2.141766496260138,0.8938766088888886,0.8581079467053829,True,0.03576866218350572
CLSPN,1.505048019189068,1.30032318888889,1.259432975108947,True,0.04089021377994295
DSN1,2.543875838297128,1.275746446666667,1.238399908677173,True,0.037346537989493944
E2F3,1.525344459992908,1.409458967777778,0.7443579777096523,True,0.6651009900681257
E2F7,1.846469735564592,1.305526842222222,1.509252148153968,True,0.2037253059317461
ECT2,3.624969164220547,1.929853092222222,1.069530737606332,True,0.8603223546158898
EXO1,1.287624122616179,1.351839164444445,1.424665765428827,True,0.0728266009843821
FANCA,1.923368554215099,1.884822753333333,1.19178137549122,True,0.693041377842113
FBXO5,1.911845446413261,1.741735333333333,1.657031933163087,True,0.08470340017024602
FEN1,2.28210301849765,1.038769616666666,0.9786535577486772,True,0.06011605891798877
KIF11,2.199726128896946,1.551428192222223,1.080552475787133,True,0.4708757164350901
KIF14,3.001738255299844,1.344396075,0.7955439610347466,True,0.5488521139652534
KIF20B,2.504187771534266,1.598579068888889,0.968923495202945,True,0.629655573685944
KIF23,-2.06887235538868,1.311825665555556,0.9365537443963956,True,0.3752719211591604
KIF2C,2.744893433319016,1.595018897222222,0.8248127317659351,True,0.7702061654562868
LIG1,1.560572527688878,1.375836168888889,1.605379691223076,True,0.22954352233418707
MAD2L1,2.165750314944522,1.215930838518519,1.167916976145901,True,0.048013862372618066
MBD4,-1.630896546922965,1.140996456666667,0.598925308218589,True,0.542071148448078
MCM3,1.914243872947878,1.061387755555556,1.847685531350696,True,0.7862977757951399
MCM5,-1.435963453960028,1.305273161111111,1.740217108989797,True,0.43494394787868607
MKI67,1.532678767463946,1.532774451666667,1.304124149076821,True,0.2286503025898461
MYB,-1.382188090014567,1.487309266666667,1.251712549344322,True,0.235596717322345
MYBL2,1.972979433048424,1.302147323333334,0.752479291740042,True,0.549668031593292
NASP,1.844710839321344,1.09468770037037,1.163114628006695,True,0.06842692763632496
NCAPG,2.120352873828411,1.550959978888889,1.024071832121957,True,0.526888146766932
NCAPG2,1.757531858319253,1.417872772222223,1.61666281402321,True,0.19879004180098692
NCAPH,1.459640937320033,1.212660696666666,0.7785237477022434,True,0.43413694896442256
NDC80,2.220368537259044,1.552816443333333,0.8434243396090013,True,0.7093921037243316
NEK2,3.017470413897539,1.530788197777778,0.7359636697327548,True,0.7948245280450231
NSL1,2.512446425718175,2.1885218525,0.6673662572984076,True,1.5211555952015925
NUSAP1,1.437273430820962,1.518208936666667,1.268918803852468,True,0.24929013281419898
OIP5,2.611504648525019,1.362067388888889,0.7235894900758958,True,0.6384778988129932
PLK1,2.972519661574066,1.09373844,0.6858979991639664,True,0.40784044083603366
PRC1,2.558431421493897,1.304942756666667,0.9722226815805816,True,0.33272007508608537
RACGAP1,1.867097054982266,1.302655276666667,0.9946860127128728,True,0.3079692639537942
RAD18,2.407878253950354,1.791055358888889,0.8140990261640857,True,0.9769563327248032
RAD51,1.607368325284127,1.799067992777778,1.22621946861493,True,0.572848524162848
RAD54L,2.309720556316935,1.711928481111112,0.7849317445446425,True,0.9269967365664694
RBBP8,1.449546300031691,1.179803647777778,1.160727772997322,True,0.019075874780456026
RPA2,1.987778039380911,0.9536846522222224,1.047114451930726,True,0.09342979970850362
RRM1,2.11222852736467,0.7254524433333334,1.743411819314861,True,1.0179593759815277
RRM2,2.260315822138022,1.190602087777778,1.403299684907504,True,0.2126975971297258
SASS6,2.46842144525437,1.418416498888889,0.6662452192311786,True,0.7521712796577104
SPAG5,2.413096106559417,1.455735005555556,0.7309658649376477,True,0.7247691406179083
SPC25,2.003915820784496,1.624382457777778,1.238560045207735,True,0.3858224125700429
TIMELESS,2.351542374530895,1.201343748333334,0.680778475472855,True,0.520565272860479
TOPBP1,2.197697092176385,1.03148416,1.05459373463118,True,0.02310957463118002
TPX2,3.042100227079819,1.097695195555556,0.8229572092552074,True,0.2747379863003486
TTK,2.825774155443693,1.825626034444445,0.8231366146139992,True,1.0024894198304457
UBE2C,3.039811204366357,1.445117573333334,0.6858092126048391,True,0.7593083607284948
