Gene
BCL2L11
BDNF
BLM
CDKN2D
CIT
CXCL12
FAIM2
FAS
GPAM
ITGA1
KLF4
KRT18
MAPT
NR4A3
PERP
PRKCQ
PRKD2
PTPN5
RET
RFFL
RTKN2
SH3RF1
SLC1A1
STAMBP
TBX1
UBE2V2
XRCC2
