Gene,bind_logFC,expr_map2,expr_andr,sign_concordant,delta_abs_expr
BARD1,1.761824020417345,1.661701048333333,0.8791102964832622,True,0.7825907518500708
CDC7,2.839424172359373,1.193938432777778,0.9843516460894608,True,0.2095867866883172
DEK,-1.364747616717371,0.9094920666666668,1.452678873512097,True,0.5431868068454302
EXO1,1.287624122616179,1.351839164444445,1.424665765428827,True,0.0728266009843821
FANCA,1.923368554215099,1.884822753333333,1.19178137549122,True,0.693041377842113
GINS2,2.762268078251187,1.203641196666666,0.8336034706212704,True,0.37003772604539564
LIG1,1.560572527688878,1.375836168888889,1.605379691223076,True,0.22954352233418707
MCM3,1.914243872947878,1.061387755555556,1.847685531350696,True,0.7862977757951399
MCM5,-1.435963453960028,1.305273161111111,1.740217108989797,True,0.43494394787868607
POLQ,2.630280664833366,1.954869848333334,0.7757051172705797,True,1.1791647310627544
RAD51,1.607368325284127,1.799067992777778,1.22621946861493,True,0.572848524162848
RAD54L,2.309720556316935,1.711928481111112,0.7849317445446425,True,0.9269967365664694
RBBP8,1.449546300031691,1.179803647777778,1.160727772997322,True,0.019075874780456026
RPA2,1.987778039380911,0.9536846522222224,1.047114451930726,True,0.09342979970850362
SAMHD1,-1.471068543510877,0.5959486893333336,0.7484553935122901,True,0.1525067041789565
TIMELESS,2.351542374530895,1.201343748333334,0.680778475472855,True,0.520565272860479
